Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
77	0.93529403	0.25882354	1.0	-0.1	93.35294	0.64959013	0.08751112	0.72232604	0.27244166	390000	7.450581e-09	0.055995584	-0.0047520823	-0.009185589	0.48017177	0.005800219	0.060799997	79.0	365.9187457561493
78	1.0	0.0	1.0	1.0	88.96296	0.6121416	0.11137011	0.72974646	0.19760823	395000	5.9604646e-09	0.029462352	-0.0035416647	-0.007101382	0.48301655	0.0043250183	0.040599998	79.0	370.9083409309387
79	1.0	0.0	1.0	1.0	87.98182	0.65709543	0.08774196	0.7239903	0.30748552	400000	-3.7252903e-09	0.021360446	-0.0021237482	-0.0002968315	0.48375648	0.0035554045	0.025799999	79.0	376.54926323890686
80	0.97962964	0.14829855	1.0	-0.1	89.611115	0.662568	0.08658541	0.72604406	0.30759442	405000	4.4703485e-09	0.031115407	-0.0027007773	-0.0023256293	0.48449907	0.0039432277	0.0276	79.0	381.6414997577667
81	0.9365384	0.25647673	1.0	-0.1	92.17308	0.6365365	0.1030596	0.73127925	0.20116796	410000	0.0	0.049774446	-0.0015505205	-0.0043455646	0.484078	0.017304504	0.1882	3.0	384.2120854854584
82	0.9592593	0.20773782	1.0	-0.1	89.24074	0.61918634	0.11119711	0.73894066	0.11557026	415000	-1.3411045e-08	0.04322686	-0.00505484	-0.005212597	0.4839118	0.0039252266	0.052600004	79.0	389.3876791000366
83	0.95849055	0.20961237	1.0	-0.1	90.0	0.61841464	0.10481499	0.7948283	0.18569025	420000	-8.940697e-09	0.037873197	-0.0049750023	-0.0067538656	0.4749953	0.0065467507	0.050400008	79.0	394.4422867298126
84	1.0	0.0	1.0	1.0	86.26786	0.6178329	0.11484915	0.7498077	-0.0288602	425000	-1.4901161e-08	0.029568572	-0.0034385554	-0.008379283	0.47223172	0.0023513883	0.026800001	79.0	399.4735291004181
85	0.8981481	0.31884676	1.0	-0.1	88.44444	0.65790486	0.09524412	0.74800426	0.25066507	430000	-8.940697e-09	0.06664172	-0.00588995	-0.013863233	0.48156863	0.00988234	0.0678	79.0	404.64824771881104
86	0.96	0.20591262	1.0	-0.1	84.32727	0.59778863	0.09044656	0.76808983	0.23294225	435000	8.940697e-09	0.042606972	-0.003632199	-0.004407462	0.46366414	0.008154549	0.041	79.0	409.88281321525574
